answer,answer_id,same_sentiment,fetch_count,default_negative,default_positive,use_noun,use_sentiment
"Yes, I <sentiment> <noun>.",1,1,0,0,0,1,1
"No, I don't <sentiment> <noun>.",1,0,0,0,0,1,1
"No, I <sentiment_1> <noun>.",1,0,0,0,0,1,0
I <sentiment_1> <noun>.,1,0,0,0,0,1,0
I do <sentiment> <noun>. I also <sentiment> <noun_1>.,1,1,1,0,0,1,1
"Yes, I do!",1,1,0,0,0,0,0
"No, I don't.",1,0,0,0,0,0,0
I don't <sentiment> <noun> but I <sentiment> <noun_1>.,1,0,1,0,0,1,1
"No, I don't <sentiment> <noun> but I <sentiment> <noun_1>.",1,0,1,0,0,1,1
"I <sentiment> <noun_1>, <noun_2> and <noun_3>.",2,1,3,0,0,0,1
I <sentiment> <noun_1> the most! But I also <sentiment> <noun_2>.,2,1,2,0,0,0,1
I <sentiment> <noun_1>.,2,1,1,0,0,0,1
I <sentiment> <noun_1> and <noun_2>.,2,1,2,0,0,0,1
I don't <sentiment> any <noun>.,2,0,0,0,0,1,1
I don't <sentiment> <noun>.,2,0,0,0,0,1,1
My favorite <noun> is <noun_1>.,3,1,1,0,0,1,0
I like <noun_1> the most.,3,1,1,0,0,0,0
I think I like <noun_1> the most.,3,1,1,0,0,0,0
My favorite <noun> is probably <noun_1> or <noun_2>.,3,1,2,0,0,1,0
I'm not sure but I really like <noun_1> a lot.,3,1,1,0,0,0,0
I don't have a favorite <noun>.,3,0,0,1,0,1,0
"I <sentiment_1> <noun>, so I can't think of a favorite.",3,0,0,1,0,1,0
My favorite <noun> genre is <noun_1>. But I also like <noun_2> and <noun_3>.,4,1,3,0,0,1,0
My absolute favorite <noun> genre is <noun_1>.,4,1,1,0,0,1,0
I think I like <noun_1> the most.,4,1,1,0,0,0,0
I <sentiment_1>  <noun>.,5,1,0,0,0,1,0
Hm...I don't really like <noun> that much.,5,0,0,1,0,1,0
I like it!,5,1,0,0,1,0,0
My favorite <noun> are <noun_1> and <noun_2>.,6,1,2,0,0,1,0
It has to be <noun_1> and <noun_2>.,6,1,2,0,0,0,0
I <sentiment_1> <noun>.,6,0,0,1,0,1,0
I don't have a favorite <noun> because I <sentiment_1> <noun>.,6,0,0,1,0,1,0