sentiment,subject,topic
[0.5419765],almond,food
[0.5419765],almond,fruit
[0.17602128],anchovy,food
[0.33347629],anise,food
[0.95649566],appetizer,food
[0.27683444],apple,food
[0.27683444],apple,fruit
[0.0298031],apricot,food
[0.0298031],apricot,fruit
[0.00379818],artichoke,food
[0.92798171],asparagus,food
[0.8196137],aspic,food
[0.21029425],avocado,food
[0.21029425],avocado,fruit
[0.65332387],bacon,food
[0.83441497],bagel,food
[0.72420573],banana,food
[0.72420573],banana,fruit
[0.25207974],barbecue,food
[0.06447748],barley,food
[0.6408334],basil,food
[0.8503684],batter,food
[0.07307758],beef,food
[0.74249363],beet,food
[0.58410718],berry,food
[0.58410718],berry,fruit
[0.89474802],biscuit,food
[0.25703051],bitter,food
[0.14350397],blackberry,food
[0.14350397],blackberry,fruit
[0.24295677],blueberry,food
[0.24295677],blueberry,fruit
[0.25923895],bowl,food
[0.87170981],boysenberry,food
[0.3425631],bran,food
[0.03227126],bread,food
[0.11722321],breadfruit,food
[0.11722321],breadfruit,fruit
[0.74896135],breakfast,food
[0.06731586],brisket,food
[0.56131074],broccoli,food
[0.5066047],brownie,food
[0.99409088],brunch,food
[0.46456973],buckwheat,food
[0.21659183],burrito,food
[0.94380751],butter,food
[0.44350406],cake,food
[0.44350406],cake,dessert
[0.14247487],candy,food
[0.51025208],caramel,food
[0.90229719],carrot,food
[0.5996435],cashew,food
[0.8542689],casserole,food
[0.24752721],cauliflower,food
[0.89207214],caviar,food
[0.8547129],celery,food
[0.35932682],cereal,food
[0.17556429],chard,food
[0.99046541],cheddar,food
[0.35700982],cheese,food
[0.11516835],cheesecake,food
[0.7248119],chef,food
[0.33523578],cherry,food
[0.33523578],cherry,fruit
[0.23595212],chew,food
[0.05684687],chicken,food
[0.18269058],chili,food
[0.16899057],chips,food
[0.61098328],chives,food
[0.43533275],chocolate,food
[0.45227614],chow,food
[0.62457534],chutney,food
[0.69666299],cinnamon,food
[0.50184635],citron,food
[0.72018794],citrus,food
[0.72018794],citrus,fruit
[0.83494728],clam,food
[0.27186573],cobbler,food
[0.6349025],coconut,food
[0.6349025],coconut,fruit
[0.08885092],cod,food
[0.91405243],coffee,food
[0.66708142],coleslaw,food
[0.40298128],cook,food
[0.06645286],cookie,food
[0.90503851],corn,food
[0.95478737],cornmeal,food
[0.07483784],crab,food
[0.44492169],cranberry,food
[0.44492169],cranberry,fruit
[0.94542936],cream,food
[0.34133753],cucumber,food
[0.34133753],cucumber,fruit
[0.13289465],cuisine,food
[0.78672181],cupcake,food
[0.6546455],curry,food
[0.54349488],custard,food
[0.95210082],dairy,food
[0.68408785],dessert,food
[0.62619166],diet,food
[0.18864862],dill,food
[0.87325145],dinner,food
[0.24359764],dip,food
[0.31195998],dish,food
[0.89863008],dough,food
[0.984343],doughnut,food
[0.1549801],dressing,food
[0.47675391],drink,food
[0.9403403],durian,food
[0.9403403],durian,fruit
[0.52445012],egg,food
[0.76993751],eggplant,food
[0.76993751],eggplant,fruit
[0.46190194],elderberry,food
[0.46190194],elderberry,fruit
[0.42943802],entree,food
[0.34111827],fat,food
[0.94594726],feed,food
[0.87426912],fennel,food
[0.05847426],fig,food
[0.05847426],fig,fruit
[0.83961664],fillet,food
[0.30807056],fish,food
[0.38369499],flan,food
[0.22855706],flour,food
[0.54493746],fritter,food
[0.93274635],frosting,food
[0.78380166],fruit,food
[0.52207247],garlic,food
[0.45170375],gastronomy,food
[0.20262046],gelatin,food
[0.87515446],ginger,food
[0.0829644],gingerbread,food
[0.3885679],grain,food
[0.90230911],granola,food
[0.367548],grape,food
[0.367548],grape,fruit
[0.89359882],grapefruit,food
[0.13590975],gravy,food
[0.42437077],greens,food
[0.75793423],guacamole,food
[0.82823515],guava,food
[0.82823515],guava,fruit
[0.57271513],gyro,food
[0.70778374],halibut,food
[0.8480919],ham,food
[0.36269773],hamburger,food
[0.7531718],hash,food
[0.37213717],hazelnut,food
[0.37213717],hazelnut,fruit
[0.07311132],honey,food
[0.16807526],honeydew,food
[0.37953806],horseradish,food
[0.31167602],hummus,food
[0.43987059],ice,food
[0.43987059],ice,dessert
[0.96355032],jackfruit,food
[0.96355032],jackfruit,fruit
[0.36703947],jam,food
[0.73416444],jelly,food
[0.1682594],jimmies,food
[0.61646385],juice,food
[0.61646385],juice,fruit
[0.47747212],julienne,food
[0.44553318],kale,food
[0.10777171],kebab,food
[0.6396326],ketchup,food
[0.0285656],kitchen,food
[0.17292244],kiwi,food
[0.17292244],kiwi,fruit
[0.16634524],kohlrabi,food
[0.05517099],kumquat,food
[0.17592561],lamb,food
[0.99694137],lard,food
[0.6329084],lasagna,food
[0.41518731],lemon,food
[0.41518731],lemon,fruit
[0.60548928],lemonade,food
[0.60548928],lemonade,fruit
[0.87905169],lettuce,food
[0.2902625],licorice,food
[0.7040781],lime,food
[0.7040781],lime,fruit
[0.62080981],liver,food
[0.99233518],loaf,food
[0.87110366],lobster,food
[0.61615745],lollipop,food
[0.98460498],loquat,food
[0.98460498],loquat,fruit
[0.86967007],lox,food
[0.7838673],lunch,food
[0.25470636],lychee,fruit
[0.4369025],macaroni,food
[0.03699687],macaroon,food
[0.89786448],mango,food
[0.89786448],mango,fruit
[0.42425905],margarine,food
[0.57059546],marmalade,food
[0.60275457],marshmallow,food
[0.1923239],mayonnaise,food
[0.09209105],meat,food
[0.88410324],meatball,food
[0.20076106],melon,food
[0.20076106],melon,fruit
[0.18052417],menu,food
[0.86007486],meringue,food
[0.43983541],micronutrient,food
[0.46402762],milk,food
[0.17110025],milkshake,food
[0.91820764],millet,food
[0.26832774],mincemeat,food
[0.63790445],mint,food
[0.26761048],molasses,food
[0.41176484],mozzarella,food
[0.14083339],muffin,food
[0.26054088],mushroom,food
[0.54085521],mustard,food
[0.20911413],nectar,food
[0.20911413],nectar,fruit
[0.08704253],nectarine,food
[0.08704253],nectarine,fruit
[0.1956675],noodles,food
[0.95669457],nosh,food
[0.17768436],nut,fruit
[0.66862084],nutmeg,food
[0.85889055],oatmeal,food
[0.28678147],okra,fruit
[0.86207543],olive,food
[0.86207543],olive,fruit
[0.54549024],omelet,food
[0.6289294],onion,food
[0.50605471],orange,food
[0.50605471],orange,fruit
[0.26103825],oyster,food
[0.40394219],pan,food
[0.36628488],pancake,food
[0.2496696],papaya,food
[0.2496696],papaya,fruit
[0.24741206],parsley,food
[0.2064374],parsnip,food
[0.69603716],pasta,food
[0.6460253],pastry,food
[0.20725315],pate,food
[0.59390751],patty,food
[0.66797632],pea,food
[0.51799996],peach,food
[0.51799996],peach,fruit
[0.28876012],peanut,food
[0.24572454],pear,food
[0.24572454],pear,fruit
[0.49877634],pecan,food
[0.49877634],pecan,fruit
[0.00813902],pepper,food
[0.00813902],pepper,fruit
[0.82355439],pepperoni,food
[0.20898963],persimmon,food
[0.20898963],persimmon,fruit
[0.03772795],pickle,food
[0.54236749],picnic,food
[0.87812085],pie,food
[0.87812085],pie,dessert
[0.09092288],pilaf,food
[0.60680097],pineapple,food
[0.60680097],pineapple,fruit
[0.17213734],pizza,food
[0.85654255],plate,food
[0.4613604],plum,food
[0.4613604],plum,fruit
[0.40839023],pomegranate,food
[0.40839023],pomegranate,fruit
[0.75471926],pomelo,food
[0.39439148],pop,food
[0.02692921],popcorn,food
[0.92986309],pork,food
[0.50810025],potato,food
[0.89433196],pretzel,food
[0.82946757],prune,food
[0.82946757],prune,fruit
[0.68999632],pudding,food
[0.59946586],pumpernickel,food
[0.92872542],pumpkin,food
[0.92872542],pumpkin,fruit
[0.19578236],punch,food
[0.33200391],quiche,food
[0.17739523],radish,food
[0.89242781],raisin,food
[0.89242781],raisin,fruit
[0.53033658],raspberry,food
[0.53033658],raspberry,fruit
[0.26711166],ravioli,food
[0.65602585],relish,food
[0.93419217],rice,food
[0.90685556],roast,food
[0.89381727],rosemary,food
[0.73156699],rye,food
[0.9284376],saffron,food
[0.70903805],sage,food
[0.84961078],salad,food
[0.03248634],salami,food
[0.669157],salmon,food
[0.41939263],salsa,food
[0.69751062],salt,food
[0.21178492],sandwich,food
[0.70812134],sauce,food
[0.04875197],sauerkraut,food
[0.82420441],sausage,food
[0.97109961],savory,food
[0.84594695],sherbet,food
[0.84594695],sherbet,dessert
[0.48026412],snack,food
[0.41356761],sole,food
[0.92192435],sorbet,food
[0.92192435],sorbet,dessert
[0.35283867],sorghum,food
[0.47289651],sorrel,food
[0.98718167],soup,food
[0.16607584],sour,food
[0.77020274],soy,food
[0.79594113],spaghetti,food
[0.94716259],spareribs,food
[0.19072206],spinach,food
[0.02100567],sprinkles,food
[0.76193167],squash,food
[0.76193167],squash,fruit
[0.71649786],squid,food
[0.20580959],steak,food
[0.87850182],stew,food
[0.92439466],strawberry,food
[0.92439466],strawberry,fruit
[0.94984389],strudel,food
[0.4655032],succotash,food
[0.70202792],suet,food
[0.01682741],sugar,food
[0.45325765],sundae,food
[0.08753418],supper,food
[0.50906512],sushi,food
[0.11550733],sweet,food
[0.10953749],syrup,food
[0.09974541],taco,food
[0.13604417],tamale,food
[0.64616433],tangerine,food
[0.52875804],tapioca,food
[0.3016741],taro,food
[0.68990372],tarragon,food
[0.30065215],tart,food
[0.22420541],tea,food
[0.51598692],teriyaki,food
[0.35189628],thyme,food
[0.07661808],toast,food
[0.47769397],toffee,food
[0.50376246],tomatillo,food
[0.87323963],tomato,food
[0.87323963],tomato,fruit
[0.59846451],torte,food
[0.24982281],tortilla,food
[0.50641183],tuna,food
[0.1530564],turkey,food
[0.41014851],turmeric,food
[0.34428942],turnip,food
[0.037573],vanilla,food
[0.78046647],veal,food
[0.38163489],vegetable,food
[0.10558317],venison,food
[0.93712438],vinegar,food
[0.98257895],vitamin,food
[0.47738736],wafer,food
[0.57883011],waffle,food
[0.3926496],walnut,food
[0.3926496],walnut,fruit
[0.80191765],wasabi,food
[0.09379192],water,food
[0.21909498],watercress,food
[0.37574045],watermelon,food
[0.37574045],watermelon,fruit
[0.64805276],wheat,food
[0.47266216],whey,food
[0.25517703],yam,food
[0.62701537],yeast,food
[0.0083992],yogurt,food
[0.66497467],yolk,food
[0.28319965],zucchini,food
[0.08283121],apple,food
[0.08283121],apple,fruit
[0.68478114],apricot,food
[0.68478114],apricot,fruit
[0.81241769],avocado,food
[0.81241769],avocado,fruit
[0.12215691],banana,food
[0.12215691],banana,fruit
[0.99434249],berry,food
[0.99434249],berry,fruit
[0.45092007],blackberry,food
[0.45092007],blackberry,fruit
[0.08619056],blueberry,food
[0.08619056],blueberry,fruit
[0.19596625],boysenberry,food
[0.47178781],breadfruit,food
[0.47178781],breadfruit,fruit
[0.64421722],cherry,food
[0.64421722],cherry,fruit
[0.92755997],citron,food
[0.61255916],citrus,food
[0.61255916],citrus,fruit
[0.06050679],coconut,food
[0.06050679],coconut,fruit
[0.69647025],cranberry,food
[0.69647025],cranberry,fruit
[0.98274608],durian,food
[0.98274608],durian,fruit
[0.27464812],elderberry,food
[0.27464812],elderberry,fruit
[0.30142164],fig,food
[0.30142164],fig,fruit
[0.87931168],grape,food
[0.87931168],grape,fruit
[0.90389827],grapefruit,food
[0.65095201],guava,food
[0.65095201],guava,fruit
[0.97534306],honeydew,food
[0.2465065],jackfruit,food
[0.2465065],jackfruit,fruit
[0.47097635],kiwi,food
[0.47097635],kiwi,fruit
[0.96129372],kumquat,food
[0.20147782],lemon,food
[0.20147782],lemon,fruit
[0.5001092],lime,food
[0.5001092],lime,fruit
[0.36229534],lingonberry,food
[0.63678173],loquat,food
[0.63678173],loquat,fruit
[0.9125755],lychee,fruit
[0.29702901],mango,food
[0.29702901],mango,fruit
[0.36106391],melon,food
[0.36106391],melon,fruit
[0.74570121],mulberry,food
[0.74570121],mulberry,fruit
[0.66123569],nectarine,food
[0.66123569],nectarine,fruit
[0.1599286],orange,food
[0.1599286],orange,fruit
[0.72955593],papaya,food
[0.72955593],papaya,fruit
[0.60793367],peach,food
[0.60793367],peach,fruit
[0.21142998],pear,food
[0.21142998],pear,fruit
[0.98884276],persimmon,food
[0.98884276],persimmon,fruit
[0.7414776],pineapple,food
[0.7414776],pineapple,fruit
[0.49217185],plantain,food
[0.46117847],plum,food
[0.46117847],plum,fruit
[0.33569949],pluot,fruit
[0.4776831],pomegranate,food
[0.4776831],pomegranate,fruit
[0.07392902],pomelo,food
[0.25068283],prune,food
[0.25068283],prune,fruit
[0.15100396],quince,food
[0.15100396],quince,fruit
[0.41890691],raisin,food
[0.41890691],raisin,fruit
[0.8500432],raspberry,food
[0.8500432],raspberry,fruit
[0.40140545],strawberry,food
[0.40140545],strawberry,fruit
[0.43683676],tangelo,food
[0.43683676],tangelo,fruit
[0.84688016],tangerine,food
[0.82622412],watermelon,food
[0.82622412],watermelon,fruit
[0.54599311],ambrosia,food
[0.4424783],baklava,food
[0.91863277],biscotti,food
[0.23247302],brownie,food
[0.2408168],butterscotch,food
[0.64647441],cake,food
[0.64647441],cake,dessert
[0.2688807],cannoli,food
[0.92232722],cheesecake,food
[0.59123952],churro,food
[0.79037419],cobbler,food
[0.40525688],cookie,food
[0.69031958],cupcake,food
[0.61558527],custard,food
[0.83470653],dessert,food
[0.33251499],doughnut,food
[0.13283123],eclair,food
[0.21991232],flan,food
[0.37783711],fritter,food
[0.27144373],frosting,food
[0.884029],fudge,food
[0.94747151],gelatin,food
[0.41170688],gingerbread,food
[0.88748135],honey,food
[0.38829075],jam,food
[0.83638988],jelly,food
[0.28875141],jellyroll,food
[0.14947779],macaroon,food
[0.36653031],marshmallow,food
[0.99587914],meringue,food
[0.70417405],milkshake,food
[0.10756161],molasses,food
[0.26882129],mousse,food
[0.096129],muffin,food
[0.95777404],nougat,food
[0.94304031],parfait,food
[0.94304031],parfait,dessert
[0.4828471],pastry,food
[0.77181566],pie,food
[0.77181566],pie,dessert
[0.2866466],popover,food
[0.73571922],praline,food
[0.3347617],pudding,food
[0.11705866],scone,food
[0.57148174],sherbet,food
[0.57148174],sherbet,dessert
[0.04659833],shortbread,food
[0.29215951],sorbet,food
[0.29215951],sorbet,dessert
[0.10599875],souffle,food
[0.26089616],spumoni,dessert
[0.97463185],strudel,food
[0.59741926],sugar,food
[0.01859374],sundae,food
[0.51690209],tart,food
[0.36918542],toffee,food
[0.85292034],torte,food
[0.10387066],trifle,food
[0.66899862],truffle,food
[0.93214547],turnover,food
[0.20805359],waffle,food
